Data as of,Start Date,End Date,Sex,agename,age,total,covid
2/22/2021,1/1/2020,2/20/2021,Male,76 Years,76,47023,7284
2/22/2021,1/1/2020,2/20/2021,Male,77 Years,77,50858,7879
2/22/2021,1/1/2020,2/20/2021,Male,78 Years,78,48760,7639
2/22/2021,1/1/2020,2/20/2021,Male,79 Years,79,46976,7375
2/22/2021,1/1/2020,2/20/2021,Male,80 Years,80,46638,7403
2/22/2021,1/1/2020,2/20/2021,Male,81 Years,81,46959,7223
2/22/2021,1/1/2020,2/20/2021,Male,82 Years,82,47280,7322
2/22/2021,1/1/2020,2/20/2021,Male,83 Years,83,46937,7437
2/22/2021,1/1/2020,2/20/2021,Male,84 Years,84,46808,7133
2/22/2021,1/1/2020,2/20/2021,Male,85 Years and over,85,435317,62781
2/22/2021,1/1/2020,2/20/2021,Female,<1 year,0,8911,15
2/22/2021,1/1/2020,2/20/2021,Female,01 Years,1,604,4
2/22/2021,1/1/2020,2/20/2021,Female,02 Years,2,392,1
2/22/2021,1/1/2020,2/20/2021,Female,03 Years,3,315,3
2/22/2021,1/1/2020,2/20/2021,Female,04 Years,4,244,1
2/22/2021,1/1/2020,2/20/2021,Female,05 Years,5,221,2
2/22/2021,1/1/2020,2/20/2021,Female,06 Years,6,210,4
2/22/2021,1/1/2020,2/20/2021,Female,07 Years,7,208,3
2/22/2021,1/1/2020,2/20/2021,Female,08 Years,8,194,1
2/22/2021,1/1/2020,2/20/2021,Female,09 Years,9,173,3
2/22/2021,1/1/2020,2/20/2021,Female,10 Years,10,187,1
2/22/2021,1/1/2020,2/20/2021,Female,11 Years,11,214,3
2/22/2021,1/1/2020,2/20/2021,Female,12 Years,12,276,5
2/22/2021,1/1/2020,2/20/2021,Female,13 Years,13,317,4
2/22/2021,1/1/2020,2/20/2021,Female,14 Years,14,366,6
2/22/2021,1/1/2020,2/20/2021,Female,15 Years,15,452,9
2/22/2021,1/1/2020,2/20/2021,Female,16 Years,16,542,7
2/22/2021,1/1/2020,2/20/2021,Female,17 Years,17,618,10
2/22/2021,1/1/2020,2/20/2021,Female,18 Years,18,871,24
2/22/2021,1/1/2020,2/20/2021,Female,19 Years,19,987,24
2/22/2021,1/1/2020,2/20/2021,Female,20 Years,20,1033,28
2/22/2021,1/1/2020,2/20/2021,Female,21 Years,21,1226,35
2/22/2021,1/1/2020,2/20/2021,Female,22 Years,22,1254,49
2/22/2021,1/1/2020,2/20/2021,Female,23 Years,23,1409,38
2/22/2021,1/1/2020,2/20/2021,Female,24 Years,24,1461,43
2/22/2021,1/1/2020,2/20/2021,Female,25 Years,25,1642,66
2/22/2021,1/1/2020,2/20/2021,Female,26 Years,26,1751,62
2/22/2021,1/1/2020,2/20/2021,Female,27 Years,27,1942,83
2/22/2021,1/1/2020,2/20/2021,Female,28 Years,28,2086,78
2/22/2021,1/1/2020,2/20/2021,Female,29 Years,29,2304,90
2/22/2021,1/1/2020,2/20/2021,Female,30 Years,30,2479,145
2/22/2021,1/1/2020,2/20/2021,Female,31 Years,31,2451,124
2/22/2021,1/1/2020,2/20/2021,Female,32 Years,32,2705,141
2/22/2021,1/1/2020,2/20/2021,Female,33 Years,33,2847,143
2/22/2021,1/1/2020,2/20/2021,Female,34 Years,34,2874,148
2/22/2021,1/1/2020,2/20/2021,Female,35 Years,35,3086,159
2/22/2021,1/1/2020,2/20/2021,Female,36 Years,36,3196,178
2/22/2021,1/1/2020,2/20/2021,Female,37 Years,37,3518,182
2/22/2021,1/1/2020,2/20/2021,Female,38 Years,38,3573,242
2/22/2021,1/1/2020,2/20/2021,Female,39 Years,39,3801,237
2/22/2021,1/1/2020,2/20/2021,Female,40 Years,40,3984,263
2/22/2021,1/1/2020,2/20/2021,Female,41 Years,41,4220,343
2/22/2021,1/1/2020,2/20/2021,Female,42 Years,42,4146,320
2/22/2021,1/1/2020,2/20/2021,Female,43 Years,43,4476,381
2/22/2021,1/1/2020,2/20/2021,Female,44 Years,44,4635,388
2/22/2021,1/1/2020,2/20/2021,Female,45 Years,45,5054,432
2/22/2021,1/1/2020,2/20/2021,Female,46 Years,46,5375,474
