UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2015,999,319594955,157322630,162272325,122358823,124605060,20255495,22074260,2008456,1972287,8330535,9152629,377203,365762,3992118,4102327,125898084,128221023,21990019,23904893,3268795,3299839,9802978,10631809,741640,736350,129172411,134726476,97530934,100362970,18963171,20729838,1164534,1198066,8057041,8877357,276477,272278,3180254,3285967,100347857,103255175,20334043,22185512,2072595,2174787,9304694,10130244,563160,565407,28150219,27545849,24827889,24242090,1292324,1344422,843922,774221,273494,275272,100726,93484,811864,816360,25550227,24965848,1655976,1719381,1196200,1125052,498284,501565,178480,170943
R,1,2015,0,3979831,2035485,1944346,1469214,1397885,304806,296869,32725,31902,101573,95675,5918,5653,121249,116362,1580899,1505048,369962,359963,57152,55339,146247,138046,14531,13805,1516789,1445376,1025896,971793,276405,269633,17172,16609,96025,90295,4120,3912,97171,93134,1115827,1057959,329435,321010,33258,31985,133309,125581,10499,9954,518696,498970,443318,426092,28401,27236,15553,15293,5548,5380,1798,1741,24078,23228,465072,447089,40527,38953,23894,23354,12938,12465,4032,3851
R,1,2015,1,3941712,2016602,1925110,1455926,1385435,303620,294808,33246,31793,98891,93373,5716,5433,119203,114268,1565654,1490572,367399,356828,57515,54970,142855,134886,14372,13546,1502522,1432179,1016248,964088,275771,268023,17585,16769,93555,88217,3999,3754,95364,91328,1104458,1048511,327637,318501,33578,32001,130131,122687,10332,9660,514080,492931,439678,421347,27849,26785,15661,15024,5336,5156,1717,1679,23839,22940,461196,442061,39762,38327,23937,22969,12724,12199,4040,3886
R,1,2015,2,3976911,2032325,1944586,1465532,1398576,304476,295700,32968,31673,104746,99157,5811,5574,118792,113906,1574763,1503302,367540,356797,57218,55015,149032,141023,14504,13845,1515121,1445534,1022000,970654,276881,269071,17669,17017,99483,93968,4091,3872,94997,90952,1109742,1054656,328056,318669,33627,32350,136440,128791,10481,9926,517204,499052,443532,427922,27595,26629,15299,14656,5263,5189,1720,1702,23795,22954,465021,448646,39484,38128,23591,22665,12592,12232,4023,3919
R,1,2015,3,3988527,2039923,1948604,1479529,1409095,304775,295849,33067,31882,99442,94522,5584,5324,117526,111932,1587643,1512004,367455,355787,57422,55128,142668,135519,14146,13445,1515438,1443972,1028168,975054,277676,269669,17807,16969,94240,89547,3854,3659,93693,89074,1114757,1057326,328485,318172,33810,32184,130137,123565,10107,9564,524485,504632,451361,434041,27099,26180,15260,14913,5202,4975,1730,1665,23833,22858,472886,454678,38970,37615,23612,22944,12531,11954,4039,3881
R,1,2015,4,4052965,2070624,1982341,1503444,1435177,309145,299950,32330,31381,100763,96520,5724,5401,119218,113912,1613215,1539973,372613,361099,57195,55366,144449,137763,14374,13530,1532084,1463065,1037554,986060,282805,273917,17722,17341,95404,91563,3945,3753,94654,90431,1125082,1069583,334037,323231,33903,33019,131636,125832,10261,9701,538540,519276,465890,449117,26340,26033,14608,14040,5359,4957,1779,1648,24564,23481,488133,470390,38576,37868,23292,22347,12813,11931,4113,3829
R,1,2015,5,3986226,2033511,1952715,1465336,1400583,306216,298114,32949,31832,104891,101529,6080,5943,118039,114714,1573950,1505994,369642,360481,56870,55128,148299,143120,14441,14102,1512660,1450021,1020682,971791,277634,270238,17446,16938,98869,95714,4077,3942,93952,91398,1107604,1056175,329046,320727,32986,32167,134816,130286,10206,9913,520851,502694,444654,428792,28582,27876,15503,14894,6022,5815,2003,2001,24087,23316,466346,449819,40596,39754,23884,22961,13483,12834,4235,4189
R,1,2015,6,4094081,2089448,2004633,1509354,1440824,317411,309037,33422,32091,105920,102869,6244,6095,117097,113717,1616877,1545293,380454,371061,57280,55091,148454,143637,14713,14140,1556812,1492847,1053102,1002669,288193,281056,17721,17209,99908,97103,4198,4078,93690,90732,1139446,1086468,339647,331638,33335,32043,135408,131026,10418,9933,532636,511786,456252,438155,29218,27981,15701,14882,6012,5766,2046,2017,23407,22985,477431,458825,40807,39423,23945,23048,13046,12611,4295,4207
R,1,2015,7,4144511,2115795,2028716,1534145,1464470,317977,309782,34143,33294,108412,104184,6285,6067,114833,110919,1639461,1566129,379491,370024,57966,56257,150272,144041,14654,14004,1576081,1509863,1070643,1019072,289174,282032,17877,17778,102448,98616,4228,4032,91711,88333,1155174,1100330,339283,330995,33423,32672,137281,131722,10422,9850,539714,518853,463502,445398,28803,27750,16266,15516,5964,5568,2057,2035,23122,22586,484287,465799,40208,39029,24543,23585,12991,12319,4232,4154
R,1,2015,8,4143104,2116712,2026392,1541661,1470727,316869,307089,34490,32788,106178,102363,6105,5931,111409,107494,1643805,1569264,375868,364817,57841,55344,147189,141017,14309,13708,1581544,1511726,1080903,1027886,288932,279780,18093,17492,100274,96818,4145,3940,89197,85810,1163047,1106860,337156,327054,33378,32173,134487,128987,10166,9637,535168,514666,460758,442841,27937,27309,16397,15296,5904,5545,1960,1991,22212,21684,480758,462404,38712,37763,24463,23171,12702,12030,4143,4071
R,1,2015,9,4111183,2100691,2010492,1541213,1464442,308027,300632,33770,32902,105628,104145,6080,6006,105973,102365,1638264,1558102,363483,354747,56549,54738,144788,141727,13794,13349,1577000,1508860,1088811,1031304,281230,274646,17972,17708,100080,98945,4055,4096,84852,82161,1166839,1106727,326640,319010,32885,31979,132901,130494,9740,9563,523691,501632,452402,433138,26797,25986,15798,15194,5548,5200,2025,1910,21121,20204,471425,451375,36843,35737,23664,22759,11887,11233,4054,3786
