UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2017,9,4169491,2128782,2040709,1541126,1470845,320094,311993,34256,33368,111865,107130,6327,6121,115114,111252,1646680,1572794,381736,372400,58113,56373,153882,147153,14716,14078,1582898,1516099,1072032,1020331,291005,283893,17879,17775,105890,101552,4267,4080,91825,88468,1156642,1101691,341113,332865,33411,32653,140866,134815,10479,9918,545884,524610,469094,450514,29089,28100,16377,15593,5975,5578,2060,2041,23289,22784,490038,471103,40623,39535,24702,23720,13016,12338,4237,4160
R,1,2017,10,4168686,2129765,2038921,1548715,1477366,319043,309363,34616,32862,109535,105439,6152,6012,111704,107879,1651113,1576232,378194,367291,58018,55482,150685,144270,14372,13813,1588041,1518185,1082108,1029087,290726,281766,18103,17487,103611,99876,4188,4013,89305,85956,1164328,1108163,338956,329054,33384,32162,137948,132205,10224,9733,541724,520736,466607,448279,28317,27597,16513,15375,5924,5563,1964,1999,22399,21923,486785,468069,39238,38237,24634,23320,12737,12065,4148,4080
R,1,2017,11,4136806,2113599,2023207,1547949,1471269,310318,302874,33889,32961,108971,107322,6138,6089,106334,102692,1645310,1565205,365979,357145,56745,54844,148264,145070,13874,13460,1583355,1515390,1089815,1032502,283105,276624,17973,17701,103402,102096,4098,4163,84962,82304,1167914,1108027,328530,321006,32884,31965,136339,133795,9804,9657,530244,507817,458134,438767,27213,26250,15916,15260,5569,5226,2040,1926,21372,20388,477396,457178,37449,36139,23861,22879,11925,11275,4070,3803
R,1,2017,12,4139389,2111750,2027639,1550756,1479333,308550,299936,33388,32198,110619,110283,6099,5845,102338,100044,1644363,1570706,361514,352111,55800,54085,148693,147028,13594,13147,1593523,1528763,1101561,1047345,282293,274611,18064,17184,105065,105039,4238,4088,82302,80496,1177189,1121102,325620,317465,32971,31736,137087,136039,9811,9537,518227,498876,449195,431988,26257,25325,15324,15014,5554,5244,1861,1757,20036,19548,467174,449604,35894,34646,22829,22349,11606,10989,3783,3610
R,1,2017,13,4129392,2105912,2023480,1554090,1482742,305551,297554,32335,31784,109489,109711,5910,5644,98537,96045,1644138,1570533,355948,347019,54526,53372,146084,145210,13256,12724,1599840,1533758,1114784,1057810,280136,273037,17582,17115,104163,104568,4099,3950,79076,77278,1187318,1128740,321413,313687,32324,31614,134939,134338,9596,9244,506072,489722,439306,424932,25415,24517,14753,14669,5326,5143,1811,1694,19461,18767,456820,441793,34535,33332,22202,21758,11145,10872,3660,3480
R,1,2017,14,4117181,2098985,2018196,1548686,1479124,308725,301450,32741,31602,108628,108393,5917,5698,94288,91929,1634606,1562862,356730,348665,54581,52985,143426,141978,13119,12524,1597863,1532612,1113112,1056612,283565,277367,17808,17241,103340,103503,4152,3979,75886,73910,1182493,1124248,323025,316127,32420,31574,132607,131719,9580,9108,501122,485584,435574,422512,25160,24083,14933,14361,5288,4890,1765,1719,18402,18019,452113,438614,33705,32538,22161,21411,10819,10259,3539,3416
R,1,2017,15,4145426,2114945,2030481,1561778,1490930,315973,307059,32549,31160,106360,105245,5785,5619,92500,90468,1646008,1573325,363181,353583,54570,52915,140006,137711,12761,12406,1617557,1549556,1128846,1072053,291018,283163,17977,17287,101412,100381,4053,3896,74251,72776,1196662,1138607,329740,321472,32792,31970,129675,127675,9328,9016,497388,480925,432932,418877,24955,23896,14572,13873,4948,4864,1732,1723,18249,17692,449346,434718,33441,32111,21778,20945,10331,10036,3433,3390
R,1,2017,16,4278574,2186174,2092400,1608726,1530094,332363,322150,33462,32345,112877,111876,5987,5817,92759,90118,1693148,1611908,379260,368388,56110,54313,146682,144217,12997,12653,1679520,1605525,1166988,1106264,307200,297721,18727,17900,107735,107012,4282,4073,74588,72555,1235018,1172371,345675,335695,34058,32942,136248,134181,9602,9216,506654,486875,441738,423830,25163,24429,14735,14445,5142,4864,1705,1744,18171,17563,458130,439537,33585,32693,22052,21371,10434,10036,3395,3437
R,1,2017,17,4223243,2160074,2063169,1596497,1516276,327650,316336,32936,31814,107912,106471,5868,5541,89211,86731,1677597,1594823,372964,360889,55370,53558,139496,137041,12783,12254,1665950,1589426,1165382,1103221,302958,292652,18589,17994,102975,101758,4158,3946,71888,69855,1230961,1166630,340273,329455,33963,32938,129602,127387,9385,9044,494124,473743,431115,413055,24692,23684,14347,13820,4937,4713,1710,1595,17323,16876,446636,428193,32691,31434,21407,20620,9894,9654,3398,3210
R,1,2017,18,4241708,2167991,2073717,1601928,1522084,329253,319206,32726,31816,110263,109715,5763,5489,88058,85407,1681722,1599546,373158,362573,55079,53901,141770,139634,12810,12000,1678041,1604550,1174425,1112852,304631,295880,18437,17929,105299,104963,4140,3910,71109,69016,1239076,1175634,340843,331699,33867,33342,131880,130077,9545,8915,489950,469167,427503,409232,24622,23326,14289,13887,4964,4752,1623,1579,16949,16391,442646,423912,32315,30874,21212,20559,9890,9557,3265,3085
