UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2016,999,321864095,158469574,163394521,122880943,125079888,20468600,22291928,2032464,1997653,8588046,9430389,384573,373259,4114948,4221404,126533666,128805884,22270628,24187999,3312119,3344511,10109165,10956126,757225,751821,129733206,135258224,97553154,100332757,19142043,20913650,1172653,1207288,8308579,9149151,281885,277805,3274892,3377573,100457751,103309885,20564573,22419442,2090885,2194282,9597451,10441416,574664,576854,28736368,28136297,25327789,24747131,1326557,1378278,859811,790365,279467,281238,102688,95454,840056,843831,26075915,25495999,1706055,1768557,1221234,1150229,511714,514710,182561,174967
R,1,2016,0,3970382,2030947,1939435,1465338,1394523,304358,295844,32636,31370,100745,94757,5994,5701,121876,117240,1577616,1502511,370098,359643,57061,54768,145513,137427,14576,13887,1505650,1434924,1016085,963451,276156,268591,16924,16134,94928,89190,4110,3887,97447,93671,1106290,1050132,329624,320485,32905,31395,132157,124650,10427,9912,525297,504511,449253,431072,28202,27253,15712,15236,5817,5567,1884,1814,24429,23569,471326,452379,40474,39158,24156,23373,13356,12777,4149,3975
R,1,2016,1,3998505,2044727,1953778,1473205,1401634,305672,297992,32754,31946,105640,99893,5963,5761,121493,116552,1585085,1508948,370842,361119,57193,55404,150554,142423,14604,13931,1522698,1451593,1026821,972633,277146,270607,17156,16605,100057,94497,4165,4005,97353,93246,1116890,1058875,330147,321963,33230,31971,137579,129940,10575,10070,522029,502185,446384,429001,28526,27385,15598,15341,5583,5396,1798,1756,24140,23306,468195,450073,40695,39156,23963,23433,12975,12483,4029,3861
R,1,2016,2,3959500,2025599,1933901,1459860,1389149,304742,296039,33290,31825,102465,96932,5749,5487,119493,114469,1569822,1494449,368569,358126,57576,55018,146680,138591,14437,13619,1508521,1438019,1017437,965116,276759,269127,17580,16769,97108,91764,4034,3797,95603,91446,1105830,1049619,328636,319608,33571,31994,133937,126375,10403,9725,517078,495882,442423,424033,27983,26912,15710,15056,5357,5168,1715,1690,23890,23023,463992,444830,39933,38518,24005,23024,12743,12216,4034,3894
R,1,2016,3,3993068,2040474,1952594,1469348,1402230,305549,296944,33008,31710,107682,102002,5845,5608,119042,114100,1578773,1507115,368684,358105,57275,55062,152155,144013,14570,13897,1520236,1450566,1023044,971593,277831,270183,17660,17010,102409,96805,4121,3905,95171,91070,1110909,1055682,329024,319783,33609,32331,139552,131769,10541,9979,520238,502028,446304,430637,27718,26761,15348,14700,5273,5197,1724,1703,23871,23030,467864,451433,39660,38322,23666,22731,12603,12244,4029,3918
R,1,2016,4,4003360,2047278,1956082,1483053,1412734,305829,297093,33104,31934,101913,96822,5611,5373,117768,112126,1591366,1515798,368587,357074,57489,55193,145298,137978,14195,13517,1519881,1448492,1029048,975987,278620,270775,17803,16960,96695,91835,3876,3703,93839,89232,1115745,1058378,329440,319297,33805,32177,132745,126013,10153,9631,527397,507590,454005,436747,27209,26318,15301,14974,5218,4987,1735,1670,23929,22894,475621,457420,39147,37777,23684,23016,12553,11965,4042,3886
R,1,2016,5,4067170,2077714,1989456,1506877,1438654,310275,301142,32383,31431,102993,98671,5751,5440,119435,114118,1616833,1543621,373823,362356,57275,55432,146808,140061,14417,13591,1536307,1467330,1038425,986981,283796,274969,17721,17334,97623,93698,3970,3784,94772,90564,1126046,1070605,335039,324296,33894,33008,133977,128107,10304,9751,541407,522126,468452,451673,26479,26173,14662,14097,5370,4973,1781,1656,24663,23554,490787,473016,38784,38060,23381,22424,12831,11954,4113,3840
R,1,2016,6,3999591,2040260,1959331,1468844,1403893,307266,299231,32981,31886,106814,103462,6117,5967,118238,114892,1577630,1509447,370768,361660,56919,55194,150341,145172,14498,14149,1516466,1453860,1021541,972605,278525,271218,17443,16939,100787,97624,4108,3963,94062,91511,1108549,1057071,329948,321719,32971,32163,136845,132315,10257,9955,523794,505471,447303,431288,28741,28013,15538,14947,6027,5838,2009,2004,24176,23381,469081,452376,40820,39941,23948,23031,13496,12857,4241,4194
R,1,2016,7,4107081,2096100,2010981,1512835,1444192,318453,310108,33443,32144,107778,104569,6279,6115,117312,113853,1620538,1548773,381586,372183,57326,55161,150431,145420,14769,14175,1560491,1496346,1053890,1003451,289085,281986,17712,17213,101764,98792,4230,4096,93810,90808,1140324,1087309,340551,332568,33324,32042,137379,132798,10473,9966,535609,514635,458945,440741,29368,28122,15731,14931,6014,5777,2049,2019,23502,23045,480214,461464,41035,39615,24002,23119,13052,12622,4296,4209
R,1,2016,8,4157051,2122243,2034808,1537558,1467758,319020,310843,34183,33325,110213,105715,6307,6092,114962,111075,1642984,1569551,380591,371153,58023,56305,152146,145653,14683,14042,1579614,1513111,1071388,1019820,290098,282915,17873,17775,104247,100147,4248,4053,91760,88401,1155953,1101132,340205,331881,33410,32660,139147,133329,10447,9884,542629,521697,466170,447938,28922,27928,16310,15550,5966,5568,2059,2039,23202,22674,487031,468419,40386,39272,24613,23645,12999,12324,4236,4158
R,1,2016,9,4155844,2123233,2032611,1545178,1473973,317903,308225,34549,32822,107935,103928,6123,5970,111545,107693,1647438,1572672,376971,366053,57924,55411,149012,142683,14336,13761,1584892,1514997,1081558,1028506,289795,280748,18095,17493,102025,98381,4162,3978,89257,85891,1163745,1107531,338024,328030,33379,32174,136302,130640,10193,9691,538341,517614,463620,445467,28108,27477,16454,15329,5910,5547,1961,1992,22288,21802,483693,465141,38947,38023,24545,23237,12710,12043,4143,4070
R,1,2016,10,4124267,2107233,2017034,1544657,1467899,309098,301765,33833,32939,107392,105815,6100,6059,106153,102557,1641864,1561723,364655,355968,56647,54807,146621,143491,13826,13420,1580286,1512264,1089389,1031925,282101,275643,17976,17706,101832,100603,4073,4139,84915,82248,1167459,1107411,327526,320017,32887,31975,134713,132239,9770,9624,526947,504770,455268,435974,26997,26122,15857,15233,5560,5212,2027,1920,21238,20309,474405,454312,37129,35951,23760,22832,11908,11252,4056,3796
R,1,2016,11,4126759,2105283,2021476,1547390,1476052,307319,298712,33330,32176,109035,108810,6057,5805,102152,99921,1640834,1567323,360177,350843,55704,54054,147041,145477,13544,13092,1590451,1525650,1101194,1046836,281244,273570,18067,17182,103492,103581,4206,4056,82248,80425,1176783,1120538,324565,316416,32974,31741,135454,134504,9774,9492,514832,495826,446196,429216,26075,25142,15263,14994,5543,5229,1851,1749,19904,19496,464051,446785,35612,34427,22730,22313,11587,10973,3770,3600
R,1,2016,12,4115934,2099159,2016775,1550512,1479218,304362,296253,32268,31767,107833,108060,5858,5579,98326,95898,1640370,1566887,354643,345661,54415,53334,144362,143471,13186,12649,1596672,1530427,1114357,1057316,279142,271958,17578,17120,102526,102937,4051,3896,79018,77200,1186844,1128187,320414,312597,32324,31623,133247,132625,9534,9179,502487,486348,436155,421902,25220,24295,14690,14647,5307,5123,1807,1683,19308,18698,453526,438700,34229,33064,22091,21711,11115,10846,3652,3470
R,1,2016,13,4102849,2091804,2011045,1544901,1475430,307539,300178,32676,31576,106747,106452,5850,5655,94091,91754,1630649,1559022,355444,347306,54478,52929,141469,139954,13034,12472,1594520,1529045,1112688,1056143,282626,276301,17808,17248,101479,101577,4096,3941,75823,73835,1182025,1123729,322084,315051,32424,31580,130679,129713,9507,9060,497284,482000,432213,419287,24913,23877,14868,14328,5268,4875,1754,1714,18268,17919,448624,435293,33360,32255,22054,21349,10790,10241,3527,3412
R,1,2016,14,4129087,2106660,2022427,1557438,1486928,314659,305690,32477,31103,104062,102852,5711,5582,92313,90272,1641509,1569153,361775,352118,54462,52818,137629,135233,12670,12358,1613592,1545332,1128326,1071476,289974,281994,17986,17293,99138,98002,3992,3865,74176,72702,1196090,1137978,328686,320299,32800,31971,127328,125217,9251,8975,493068,477095,429112,415452,24685,23696,14491,13810,4924,4850,1719,1717,18137,17570,445419,431175,33089,31819,21662,20847,10301,10016,3419,3383
R,1,2016,15,4259917,2176455,2083462,1603539,1525784,330863,320608,33369,32261,110186,109152,5941,5776,92557,89881,1687784,1607390,377661,366742,55976,54181,143908,141380,12935,12600,1674857,1600644,1166243,1105567,306008,296385,18742,17897,105090,104316,4239,4039,74535,72440,1234240,1171584,344491,334344,34077,32935,133533,131377,9545,9170,501598,482818,437296,420217,24855,24223,14627,14364,5096,4836,1702,1737,18022,17441,453544,435806,33170,32398,21899,21246,10375,10003,3390,3430
R,1,2016,16,4200051,2147945,2052106,1590267,1511302,326020,314604,32825,31711,104109,102580,5840,5499,88884,86410,1671083,1589577,371208,359050,55211,53403,135515,132949,12725,12186,1659583,1582633,1164264,1102078,301652,291121,18606,17981,99215,97894,4132,3913,71714,69646,1229710,1165322,338955,327897,33981,32912,125667,123332,9329,8984,488362,469473,426003,409224,24368,23483,14219,13730,4894,4686,1708,1586,17170,16764,441373,424255,32253,31153,21230,20491,9848,9617,3396,3202
R,1,2016,17,4213580,2153173,2060407,1595234,1516788,327499,317411,32587,31709,104653,104034,5708,5439,87492,85026,1674557,1593923,371208,360653,54870,53754,135803,133703,12696,11912,1669191,1595747,1173003,1111571,303190,294313,18451,17914,99720,99300,4089,3872,70738,68777,1237363,1174163,339352,330113,33873,33327,125954,124177,9435,8842,483982,464660,422231,405217,24309,23098,14136,13795,4933,4734,1619,1567,16754,16249,437194,419760,31856,30540,20997,20427,9849,9526,3261,3070
R,1,2016,18,4191287,2143806,2047481,1584706,1504787,325421,315145,32389,31288,111580,108954,5722,5304,83988,82003,1660754,1578978,366871,356192,54417,52958,141676,137869,12270,11571,1666611,1592367,1167918,1107349,301876,292648,18228,17920,106706,104294,4100,3806,67783,66350,1229469,1167496,336035,326639,33602,33159,132030,128645,9110,8598,477195,455114,416788,397438,23545,22497,14161,13368,4874,4660,1622,1498,16205,15653,431285,411482,30836,29553,20815,19799,9646,9224,3160,2973
R,1,2016,19,4248284,2173777,2074507,1610707,1525362,325648,317402,32591,31228,116341,114442,5848,5393,82642,80680,1685496,1598117,365602,357184,54756,53034,146202,143079,12431,11902,1693844,1620317,1190822,1128458,302231,295390,18439,17771,111594,109780,4177,3849,66581,65069,1251259,1187269,334994,328178,33732,33003,136935,133918,9245,8880,479933,454190,419885,396904,23417,22012,14152,13457,4747,4662,1671,1544,16061,15611,434237,410848,30608,29006,21024,20031,9267,9161,3186,3022
