UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2019,999,327540066,161311069,166228997,124081174,126218837,21034580,22880570,2099153,2068868,9219586,10103191,405813,394741,4470763,4562790,128062747,130260583,23033494,24966547,3437732,3471222,10877672,11760256,802655,796114,130964191,136455882,97390268,100078596,19609494,21405426,1195286,1232907,8923331,9805474,297441,293725,3548371,3639754,100548608,103299184,21182364,23056498,2145845,2249613,10327510,11208161,608040,609532,30346878,29773115,26690906,26140241,1425086,1475144,903867,835961,296255,297717,108372,101016,922392,923036,27514139,26961399,1851130,1910049,1291887,1221609,550162,552095,194615,186582
R,1,2019,0,3782912,1935051,1847861,1396447,1328976,289988,281926,31106,29892,95670,89932,5707,5416,116133,111719,1503442,1431884,352639,342726,54384,52191,138314,130585,13883,13213,1434768,1367374,968591,918426,263131,255969,16136,15382,90132,84633,3913,3692,92865,89272,1054560,1001039,314096,305434,31369,29929,125594,118420,9934,9432,500283,480487,427856,410550,26857,25957,14970,14510,5538,5299,1794,1724,23268,22447,448882,430845,38543,37292,23015,22262,12720,12165,3949,3781
R,1,2019,1,3860976,1974577,1886399,1422927,1354321,295399,287559,31662,30422,100506,94762,5843,5600,118240,113735,1531835,1459065,359113,349407,55327,53102,144025,136215,14176,13545,1463145,1395184,985353,934484,268005,261030,16396,15630,94841,89368,4017,3835,94533,90837,1072833,1018523,319797,311296,31867,30407,131062,123838,10162,9688,511432,491215,437574,419837,27394,26529,15266,14792,5665,5394,1826,1765,23707,22898,459002,440542,39316,38111,23460,22695,12963,12377,4014,3857
R,1,2019,2,3967844,2029061,1938783,1459929,1389552,303417,295465,32447,31175,106014,100217,6021,5803,121233,116571,1571566,1496892,368676,358811,56685,54397,150735,142769,14570,13955,1502569,1433096,1009304,957215,275257,268165,16774,15995,100195,94681,4150,3980,96889,93060,1098932,1043290,328257,319597,32601,31108,137443,130081,10461,9990,526492,505687,450625,432337,28160,27300,15673,15180,5819,5536,1871,1823,24344,23511,472634,453602,40419,39214,24084,23289,13292,12688,4109,3965
R,1,2019,3,4016890,2053861,1963029,1475709,1404836,306954,299224,32751,31475,109795,103815,6115,5900,122537,117779,1588522,1513261,372839,363195,57217,54922,155100,146868,14771,14143,1519892,1449912,1018536,965983,278414,271563,16905,16118,103904,98219,4224,4060,97909,93969,1109074,1052867,331880,323437,32866,31354,141671,134059,10621,10144,533969,513117,457173,438853,28540,27661,15846,15357,5891,5596,1891,1840,24628,23810,479448,460394,40959,39758,24351,23568,13429,12809,4150,3999
R,1,2019,4,4041358,2066052,1975306,1483268,1411644,308498,301471,32846,32046,113209,107195,6070,5895,122161,117055,1595689,1519372,373859,364771,57337,55534,158613,150084,14788,14113,1535778,1464776,1029364,975058,279628,273689,17139,16583,107574,101773,4260,4125,97813,93548,1119770,1061521,332664,325047,33199,31923,145579,137569,10749,10240,530274,510530,453904,436586,28870,27782,15707,15463,5635,5422,1810,1770,24348,23507,475919,457851,41195,39724,24138,23611,13034,12515,4039,3873
R,1,2019,5,3999099,2045368,1953731,1469589,1398926,307645,299465,33379,31955,108784,102799,5850,5602,120121,114984,1580067,1504646,371683,361703,57726,55188,153423,144843,14603,13784,1520091,1449577,1019748,967345,279306,272174,17562,16750,103378,97605,4117,3898,95980,91805,1108418,1052120,331207,322676,33537,31966,140616,132600,10549,9877,525277,504154,449841,431581,28339,27291,15817,15205,5406,5194,1733,1704,24141,23179,471649,452526,40476,39027,24189,23222,12807,12243,4054,3907
R,1,2019,6,4029921,2058934,1970987,1478784,1411661,308555,300252,33103,31845,112989,106937,5926,5721,119577,114571,1588651,1516927,371899,361560,57426,55233,157799,149287,14697,14057,1530545,1460786,1025135,973615,280422,273113,17652,16987,107675,101692,4188,3999,95473,91380,1113219,1057933,331640,322735,33593,32296,145145,136990,10655,10117,528389,510201,453649,438046,28133,27139,15451,14858,5314,5245,1738,1722,24104,23191,475432,458994,40259,38825,23833,22937,12654,12297,4042,3940
R,1,2019,7,4038707,2065126,1973581,1492477,1422069,308908,300174,33199,32077,106586,101217,5694,5461,118262,112583,1601201,1525511,371896,360327,57643,55387,150243,142662,14319,13648,1529407,1457764,1031040,977901,281211,273460,17794,16953,101343,96177,3942,3780,94077,89493,1117906,1060481,332055,322007,33775,32156,137653,130638,10257,9753,535719,515817,461437,444168,27697,26714,15405,15124,5243,5040,1752,1681,24185,23090,483295,465030,39841,38320,23868,23231,12590,12024,4062,3895
R,1,2019,8,4101116,2095125,2005991,1516414,1447644,313280,304095,32465,31571,107275,102626,5829,5499,119862,114556,1626722,1552985,377048,365513,57399,55632,151312,144247,14532,13686,1545218,1475745,1040320,988685,286327,277497,17702,17347,101893,97613,4034,3838,94942,90765,1128049,1072457,337578,326850,33853,33001,138457,132243,10406,9842,549907,530246,476094,458959,26953,26598,14763,14224,5382,5013,1795,1661,24920,23791,498673,480528,39470,38663,23546,22631,12855,12004,4126,3844
R,1,2019,9,4032518,2057411,1975107,1478310,1412520,310193,302172,33088,32012,111037,107104,6181,6031,118602,115268,1587401,1518397,373893,364787,57082,55372,154732,149005,14584,14234,1525010,1461649,1023219,974082,281018,273711,17438,16948,105000,101244,4168,4022,94167,91642,1110288,1058642,332433,324215,32947,32150,141210,136102,10338,10033,532401,513458,455091,438438,29175,28461,15650,15064,6037,5860,2013,2009,24435,23626,477113,459755,41460,40572,24135,23222,13522,12903,4246,4201
R,1,2019,10,4140008,2113178,2026830,1522202,1452821,321378,313104,33596,32252,111960,108170,6345,6199,117697,114284,1630243,1557783,384725,375412,57537,55333,154776,149212,14859,14281,1568759,1504019,1055344,1004774,291565,284548,17723,17214,105931,102369,4288,4166,93908,90948,1141846,1088732,343019,335142,33312,32026,141691,136544,10553,10057,544419,522811,466858,448047,29813,28556,15873,15038,6029,5801,2057,2033,23789,23336,488397,469051,41706,40270,24225,23307,13085,12668,4306,4224
R,1,2019,11,4190107,2139223,2050884,1546748,1476480,322078,313868,34363,33415,114280,109422,6387,6188,115367,111511,1652536,1578660,383888,374409,58265,56466,156369,149554,14784,14162,1587542,1520914,1072598,1021083,292594,285554,17881,17766,108288,103821,4313,4132,91868,88558,1157240,1102511,342702,334527,33401,32644,143329,137184,10534,9985,551681,529970,474150,455397,29484,28314,16482,15649,5992,5601,2074,2056,23499,22953,495296,476149,41186,39882,24864,23822,13040,12370,4250,4177
R,1,2019,12,4188896,2139970,2048926,1554030,1482815,321091,311324,34708,32907,111911,107751,6229,6071,112001,108058,1656694,1581845,380435,369338,58166,55550,153148,146668,14464,13881,1592586,1522951,1082489,1029775,292406,283453,18097,17482,105979,102173,4246,4060,89369,86008,1164753,1108893,340640,330736,33369,32141,140394,134577,10296,9790,547384,525975,471541,453040,28685,27871,16611,15425,5932,5578,1983,2011,22632,22050,491941,472952,39795,38602,24797,23409,12754,12091,4168,4091
R,1,2019,13,4158006,2124228,2033778,1553617,1476891,312330,305030,33986,33001,111430,109785,6219,6170,106646,102901,1651261,1570999,368172,359399,56910,54917,150822,147640,13970,13557,1588024,1520324,1090225,1033092,284789,278395,17975,17694,105836,104529,4172,4227,85027,82387,1168373,1108673,330210,322783,32880,31949,138856,136326,9890,9737,536204,513454,463392,443799,27541,26635,16011,15307,5594,5256,2047,1943,21619,20514,482888,462326,37962,36616,24030,22968,11966,11314,4080,3820
R,1,2019,14,4162013,2122985,2039028,1556715,1485317,310553,302157,33495,32235,113354,113095,6200,5927,102668,100297,1650621,1576910,363707,354471,55980,54173,151532,149940,13711,13245,1598463,1534118,1102029,1047944,283906,276432,18074,17170,107755,107831,4330,4161,82369,80580,1177706,1121761,327227,319292,32970,31716,139861,138924,9918,9629,524522,504910,454686,437373,26647,25725,15421,15065,5599,5264,1870,1766,20299,19717,472915,455149,36480,35179,23010,22457,11671,11016,3793,3616
